Scott Baker,SP,33.1,R,R,SEA,TBD,-,,
Chris Capuano,RP,36.2,L,L,BOS,TBD,-,,
John Axford,RP,31.6,R,R,CLE,TBD,-,,
Darren Oliver,RP,44.1,,,TOR,TBD,-,,
Grant Balfour,RP,36.8,R,R,OAK,TBD,-,,
Jeff Keppinger,3B,34.5,,,CHW,TBD,-,,
Nick Blackburn,SP,32.7,,,MIN,TBD,-,,
Jamey Carroll,2B,40.7,,,WSH,TBD,-,,
Roberto Hernandez,RP,34.2,R,R,PHI,TBD,-,,
Octavio Dotel,RP,40.9,,,DET,TBD,-,,
Jeff Niemann,RP,31.7,,,TB,TBD,-,,
Jason Marquis,SP,36.2,L,R,SD,TBD,-,,
Placido Polanco,3B,39.1,,,MIA,TBD,-,,
Ubaldo Jimenez,SP,30.8,R,R,COL,TBD,-,,
Jeff Karstens,SP,32.1,,,PIT,TBD,-,,
Kelly Johnson,2B,32.7,L,R,NYY,TBD,-,,
Mike Gonzalez,RP,36.4,,,WSH,TBD,-,,
Travis Hafner,DH,37.4,,,NYY,TBD,-,,
Andres Torres,CF,36.8,,,BOS,TBD,-,,
Jose Veras,RP,34.0,R,R,DET,TBD,-,,
Juan Pierre,LF,37.2,,,MIA,TBD,-,,
Greg Dobbs,1B,36.3,,,WSH,TBD,-,,
Jeff Francis,SP,33.8,L,L,NYY,TBD,-,,
Chris Resop,RP,32.0,,,BOS,TBD,-,,
Mark Kotsay,CF,38.9,,,SD,TBD,-,,
Laynce Nix,RF,34.0,,,PHI,TBD,-,,
Brandon Inge,3B,37.5,,,PIT,TBD,-,,
Erik Bedard,SP,35.7,,,TB,TBD,-,,
Ronny Cedeno,SS,31.8,R,R,PHI,TBD,-,,
Miguel Tejada,2B,40.4,,,MIA,TBD,-,,
Pedro Feliciano,RP,38.2,,,NYM,TBD,-,,
Hisanori Takahashi,RP,39.6,,,COL,TBD,-,,
Jon Rauch,RP,-4.9,,,KC,TBD,-,,
Chad Tracy,1B,34.4,,,LAA,TBD,-,,
Yorbit Torrealba,C,36.3,,,LAA,TBD,-,,
Rich Hill,SP,34.6,L,L,LAA,TBD,-,,
Yuniesky Betancourt,1B,32.8,,,MIL,TBD,-,,
Jayson Nix,2B,32.2,R,R,NYY,TBD,-,,
Kevin Frandsen,3B,32.4,R,R,WSH,TBD,-,,
Chris Narveson,RP,32.9,L,L,MIL,TBD,-,,
Miguel Olivo,C,36.3,R,R,LAD,TBD,-,,
Henry Blanco,C,43.2,,,ARI,TBD,-,,
Chad Gaudin,SP,31.6,,,PHI,TBD,-,,
Cristhian Martinez,RP,32.7,,,ATL,TBD,-,,
Paul Janish,SS,32.0,R,R,COL,TBD,-,,
Austin Kearns,LF,34.5,,,MIA,TBD,-,,
Casey Kotchman,1B,31.7,,,MIA,TBD,-,,
Clay Rapada,RF,33.6,,,BAL,TBD,-,,
Travis Blackley,SP,32.0,,,TEX,TBD,-,,
Luis Mendoza,SP,31.0,,,KC,TBD,-,,
Guillermo Moscoso,SP,31.0,,,SF,TBD,-,,
Henry Rodriguez,RP,27.7,,,MIA,TBD,-,,
Lucas Harrell,RP,29.4,S,R,HOU,TBD,-,,
Jeremy Hefner,SP,28.6,,,NYM,TBD,-,,
Luis Perez,RP,29.8,,,TOR,TBD,-,,
